FridayWeekStock,Cases per Week,Close,Ticker
2020-06-05,3808,20.410000228881835,AC
2020-06-12,2688,18.945999908447266,AC
2020-06-19,2410,17.846000289916994,AC
2020-06-26,2151,17.06500005722046,AC
2020-07-03,2039,16.621999740600586,AC
2020-07-10,2456,16.84000015258789,AC
2020-07-17,3410,16.907999801635743,AC
2020-07-24,3143,16.395999908447266,AC
2020-07-31,2746,15.474999904632568,AC
2020-08-07,2673,16.536000061035157,AC
2020-08-14,2639,16.29400005340576,AC
2020-08-21,2899,16.665999984741212,AC
2020-08-28,3723,17.84800033569336,AC
2020-09-04,4430,18.117499351501465,AC
2020-09-11,5944,18.355999755859376,AC
2020-09-18,8226,16.608000183105467,AC
2020-09-25,11442,15.717999839782715,AC
2020-10-02,15024,15.904000282287598,AC
2020-10-09,16169,15.787500143051147,AC
2020-10-16,17421,15.896000099182128,AC
2020-10-23,19393,15.728000068664551,AC
2020-10-30,23597,15.257999992370605,AC
2020-11-06,30434,18.81599998474121,AC
2020-11-13,33179,20.74800033569336,AC
2020-11-20,37345,22.763999938964844,AC
2020-11-27,43172,25.562000274658203,AC
2020-12-04,45798,26.900000381469727,AC
2020-12-11,46571,25.186000061035156,AC
2020-12-18,46512,22.720000076293946,AC
2020-12-25,46261,22.97333335876465,AC
2021-01-01,53718,22.760000228881836,AC
2021-01-08,53765,23.047999572753906,AC
2021-01-15,42546,22.771999740600585,AC
2021-01-22,34659,20.86400032043457,AC
2021-01-29,27636,21.060000228881837,AC
2021-02-05,23426,21.460000228881835,AC
2021-02-12,20339,23.15000009536743,AC
2021-02-19,20725,25.14800033569336,AC
2021-02-26,20176,26.381999969482422,AC
2021-03-05,21361,28.147999954223632,AC
2021-03-12,23091,28.897999954223632,AC
2021-03-19,28714,26.67600021362305,AC
2021-03-26,36355,26.39600028991699,AC
2021-04-02,48120,27.367499828338623,AC
2021-04-09,60680,26.471999740600587,AC
2021-04-16,59119,24.120000076293945,AC
2021-04-23,55269,25.32399978637695,AC
2021-04-30,54212,24.746000289916992,AC
2021-05-07,47091,24.722000122070312,AC
2021-05-14,35032,25.788000106811523,AC
2021-05-21,23628,26.487500190734863,AC
2021-05-28,16370,27.154000091552735,AC
2021-06-04,10835,27.947999954223633,AC
2021-06-11,7984,28.25799980163574,AC
2021-06-18,5390,27.121999740600586,AC
2021-06-25,4062,25.630000114440918,AC
2021-07-02,3490,26.118000030517578,AC
2021-07-09,3045,25.310000228881837,AC
2021-07-16,2856,24.689999771118163,AC
2021-07-23,4481,25.206000137329102,AC
2021-07-30,6527,24.55999994277954,AC
2021-08-06,11328,25.01199951171875,AC
2021-08-13,15504,23.92599983215332,AC
2021-08-20,19695,24.591999816894532,AC
2021-08-27,24386,24.468000411987305,AC
2021-09-03,26421,23.924999713897705,AC
2021-09-10,30656,23.052000045776367,AC
2021-09-17,30093,23.00999984741211,AC
2021-09-24,30438,23.702000045776366,AC
2021-10-01,26597,23.777999877929688,AC
2021-10-08,22206,23.12750005722046,AC
2021-10-15,19732,23.117999649047853,AC
2021-10-22,16338,22.707999801635744,AC
2021-10-29,15665,23.794000244140626,AC
2021-11-05,17561,26.12400016784668,AC
2021-11-12,16819,24.71800003051758,AC
2021-11-19,18204,23.28599967956543,AC
2021-11-26,21107,20.903999710083006,AC
2021-12-03,10943,21.175000190734863,AC
